Sl No,Module,Method,Full URL,Status,Remarks
1,AllergyIntolerance,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/AllergyIntolerance/ca89f72d-0ac4-43b5-af8e-f006e20f8f01,Working,Fetch by UUID
2,AllergyIntolerance,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/AllergyIntolerance?_id=ca89f72d-0ac4-43b5-af8e-f006e20f8f01,Working,Search by ID
3,AllergyIntolerance,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/AllergyIntolerance?patient.identifier=TEST999,Working,Filter working
4,AllergyIntolerance,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/AllergyIntolerance?patient.name=Test,Working,Filter working

5,Composition,GET,https://34.93.1.225/openmrs/ws/fhir/Composition?encounter_id=53046080-523c-4321-bc24-0481be041386&_format=json,Failed,404 Not Found

6,Condition,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Condition/0bc8128e-31ec-4a2b-9023-20c36a3e6347,Working,Fetch record

7,DiagnosticReport,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/DiagnosticReport,Partial,No data
8,DiagnosticReport,POST,https://34.93.1.225/openmrs/ws/fhir2/R4/DiagnosticReport,Failed,422 Referential integrity issue
9,DiagnosticReport,PUT,https://34.93.1.225/openmrs/ws/fhir2/R4/DiagnosticReport/{uuid},Failed,Not supported

10,Encounter,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Encounter/53046080-523c-4321-bc24-0481be041386,Working,Fetch record
11,Encounter,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Encounter?patient.identifier=TEST999,Working,Filter working

12,FamilyHistory,GET,https://34.93.1.225/openmrs/ws/fhir/FamilyHistory/7482abd0-5e24-4344-a9a2-8a9dd5b7900e,Failed,404 Not Found
13,FamilyHistory,GET,https://34.93.1.225/openmrs/ws/fhir/FamilyHistory?_id=7482abd0-5e24-4344-a9a2-8a9dd5b7900e,Failed,Not supported
14,FamilyHistory,GET,https://34.93.1.225/openmrs/ws/fhir/FamilyHistory?subject=7482abd0-5e24-4344-a9a2-8a9dd5b7900e,Failed,Not supported

15,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location/72636eba-29bf-4d6c-97c4-4b04d87a95b5,Working,Fetch record
16,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location?name=Bahmni,Working,Filter working
17,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location?address-city=Bangalore,Working,Filter working
18,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location?address-country=India,Working,Filter working
19,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location?address-postalcode=560001,Working,Filter working
20,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location?address-state=Karnataka,Working,Filter working

21,Observation,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Observation/670e9bd0-4ca2-4dd9-ab76-87fc01313334,Working,Fetch record
22,Observation,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Observation?encounter=53046080-523c-4321-bc24-0481be041386,Working,Filter working
23,Observation,POST,https://34.93.1.225/openmrs/ws/fhir2/R4/Observation,Working,Created successfully
24,Observation,DELETE,https://34.93.1.225/openmrs/ws/fhir2/R4/Observation/9a187b26-80f8-40b6-b23f-450705eb6966,Working,Deleted verified

25,MedicationRequest,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/MedicationRequest,Partial,No data
26,MedicationRequest,GET,https://34.93.1.225/openmrs/ws/fhir/R4/MedicationRequest?_id={id},Failed,FHIR1 not supported
27,MedicationRequest,POST,https://34.93.1.225/openmrs/ws/fhir/R4/MedicationRequest,Failed,Not supported
28,MedicationRequest,PUT,https://34.93.1.225/openmrs/ws/fhir/R4/MedicationRequest/{id},Failed,Not supported
29,MedicationRequest,DELETE,https://34.93.1.225/openmrs/ws/fhir/R4/MedicationRequest/{id},Failed,Not supported

30,Practitioner,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Practitioner/d7a67c17-5e07-11ef-8f7c-0242ac120002,Working,Fetch record
31,Practitioner,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Practitioner?name=Super,Working,Filter working
32,Practitioner,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Practitioner?identifier={id},Working,Filter working

33,Patient,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Patient/ec205633-4334-4c8f-a7e7-47d8b62299c4,Working,Fetch record
34,Patient,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Patient?identifier=TEST999,Working,Filter working
35,Patient,POST,https://34.93.1.225/openmrs/ws/fhir2/R4/Patient,Working,Created
36,Patient,PUT,https://34.93.1.225/openmrs/ws/fhir2/R4/Patient/cfefb1e9-101a-4ec4-82c1-437bed9de913,Working,Updated
37,Patient,DELETE,https://34.93.1.225/openmrs/ws/fhir2/R4/Patient/91eda8d6-ea15-43a9-9e26-809e744a38c0,Working,Deleted

38,Person,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Person/ec205633-4334-4c8f-a7e7-47d8b62299c4,Working,Fetch record
39,Person,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Person?name=Test,Working,Filter working
40,Person,POST,https://34.93.1.225/openmrs/ws/fhir2/R4/Person,Working,Created
41,Person,PUT,https://34.93.1.225/openmrs/ws/fhir2/R4/Person/e638f3e3-435b-448a-98f5-e69d7cc4629b,Working,Updated
42,Person,DELETE,https://34.93.1.225/openmrs/ws/fhir2/R4/Person/e638f3e3-435b-448a-98f5-e69d7cc4629b,Working,Deleted

43,ServiceRequest,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/ServiceRequest,Partial,No data
44,Task,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Task,Partial,Empty response
45,Task,POST,https://34.93.1.225/openmrs/ws/fhir2/R4/Task,Failed,500 Internal error
46,Task,PUT,https://34.93.1.225/openmrs/ws/fhir2/R4/Task/{uuid},Failed,Not supported
