Sl No,Module,Method,Full URL,Status,Remarks
1,AllergyIntolerance,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/AllergyIntolerance/ca89f72d-0ac4-43b5-af8e-f006e20f8f01,Working,Fetch by UUID
2,AllergyIntolerance,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/AllergyIntolerance?_id=ca89f72d-0ac4-43b5-af8e-f006e20f8f01,Working,Search by ID
3,AllergyIntolerance,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/AllergyIntolerance?patient.identifier=TEST999,Working,Filter working
4,AllergyIntolerance,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/AllergyIntolerance?patient.name=Test,Working,Name search working

5,Patient,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Patient,Working,List fetched
6,Patient,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Patient/ec205633-4334-4c8f-a7e7-47d8b62299c4,Working,Single record
7,Patient,POST,https://34.93.1.225/openmrs/ws/fhir2/R4/Patient,Working,Created
8,Patient,PUT,https://34.93.1.225/openmrs/ws/fhir2/R4/Patient/cfefb1e9-101a-4ec4-82c1-437bed9de913,Working,Updated
9,Patient,DELETE,https://34.93.1.225/openmrs/ws/fhir2/R4/Patient/91eda8d6-ea15-43a9-9e26-809e744a38c0,Working,Deleted

10,Person,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Person,Working,List fetched
11,Person,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Person/ec205633-4334-4c8f-a7e7-47d8b62299c4,Working,Single record
12,Person,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Person?name=Test,Working,Filter working
13,Person,POST,https://34.93.1.225/openmrs/ws/fhir2/R4/Person,Working,Created
14,Person,PUT,https://34.93.1.225/openmrs/ws/fhir2/R4/Person/e638f3e3-435b-448a-98f5-e69d7cc4629b,Working,Updated
15,Person,DELETE,https://34.93.1.225/openmrs/ws/fhir2/R4/Person/e638f3e3-435b-448a-98f5-e69d7cc4629b,Working,Deleted

16,Practitioner,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Practitioner,Working,List fetched
17,Practitioner,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Practitioner/d7a67c17-5e07-11ef-8f7c-0242ac120002,Working,Single record
18,Practitioner,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Practitioner?name=Super,Working,Filter working

19,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location/72636eba-29bf-4d6c-97c4-4b04d87a95b5,Working,Single record
20,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location?name=Bahmni,Working,Filter working
21,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location?address-city=Bangalore,Working,Filter working
22,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location?address-country=India,Working,Filter working
23,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location?address-postalcode=560001,Working,Filter working
24,Location,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Location?address-state=Karnataka,Working,Filter working
25,Location,POST,https://34.93.1.225/openmrs/ws/fhir2/R4/Location,Working,Created
26,Location,PUT,https://34.93.1.225/openmrs/ws/fhir2/R4/Location/1973e910-160e-42ef-9daf-3f020f62c4cf,Working,Updated

27,Observation,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Observation/670e9bd0-4ca2-4dd9-ab76-87fc01313334,Working,Fetch record
28,Observation,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Observation?encounter=53046080-523c-4321-bc24-0481be041386,Working,Filter working
29,Observation,POST,https://34.93.1.225/openmrs/ws/fhir2/R4/Observation,Working,Created successfully
30,Observation,DELETE,https://34.93.1.225/openmrs/ws/fhir2/R4/Observation/9a187b26-80f8-40b6-b23f-450705eb6966,Working,Deleted (verified)

31,Encounter,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Encounter/53046080-523c-4321-bc24-0481be041386,Working,Fetch record
32,Encounter,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Encounter?patient.identifier=TEST999,Working,Filter working

33,Condition,GET,https://34.93.1.225/openmrs/ws/fhir2/R4/Condition,Working,List fetched
